chs, cq, pinyin, eng, pos
啤酒, pi2 jiu3, pi2 jiu3, beer, n
瓢羹, piao2 gen1, piao2 geng1, ticket root, n

# Q
溪, qi1, xi1, stream, n
旗, qi2, qi2, flag, n, cover=false
起, qi3, qi3, raise, v
气, qi4, qi4, gas, n
器, qi4, qi4, instrument, n
去, qi4, qu4, go, v
枪, qiang1, qiang1, gun, n
墙, qiang2, qiang2, wall, n
强, qiang2, qiang2, strong, adj
像, qiang4, xiang4, like, prep
青, qin1, qing1, cyan, n
清, qin1, qing1, clear, adj
轻, qin1, qing1, light, adj
氢, qin1, qing1, hydrogen, n
琴, qin2, qin2, piano, n
晴, qin2, qing2, sunny, adj
请, qin3, qing3, please, v
庆, qin4, qing4, celebrate, v
球, qiu2, qiu2, ball, n
全, quan2, quan2, all, adj
拳, quan2, quan2, fist, n
群, qun2, qun2, group, n
裙, qun2, qun2, dress, n
起来, qi3 lai2, qi3 lai2, up, v
千万, qian1 wan4, qian1 wan4, ten million, n

# R
燃, ran2, ran2, burn, v
让, rang4, rang4, let, v
人, ren2, ren2, person, n
日, ri2, ri4, sun, v
如, ru2, ru2, like, prep
润, run4, run4, run, v
如果, ru2 go3, ru2 guo3, if, prep

# S
杀, sa2, sha1, kill, v
啥, sa2, sha2, what, prep
山, san1, shan1, mountain, n
三, san1, san1, three, n
常, sang2, chang2, usually, adj
尝, sang2, chang2, taste, v
上, sang4, shang4, up, v
烧, sao1, shao1, burn, v
少, sao3, shao3, less, adv
生, sen1, sheng1, birth, n
僧, sen1, seng1, monk, n
神, sen2, shen2, god, n
乘, sen2, cheng2, multiply, v
笋, sen3, sun3, bamboo, n
省, sen3, sheng3, province, n
思, si1, si1, think, v
狮, si1, shi1, lion, n
师, si1, shi1, teacher, n
诗, si1, shi1, poem, n
石, si2, shi2, stone, n, cover=false
湿, si2, shi1, wet, adj
食, si2, shi2, food, n
时, si2, shi2, time, n
十, si2, shi2, ten, n
识, si2, shi2, recognize, v
室, si2, shi4, room, n
屎, si3, shi3, shit, n
死, si3, si3, die, v
事, si4, si4, thing, n
市, si4, shi4, market, n
士, si4, shi4, soldier, n
是, si4, shi4, is, v
四, si4, si4, four, n
视, si4, shi4, vision, n
说, so2, shuo1, speak, v
锁, so3, suo3, lock, n
所, so3, suo3, all, n
手, sou3, shou3, hand, n
艏, sou3, shou3, bow, n
兽, sou4, shou4, animal, n
怂, song2, song2, follow heart, v
送, song4, song4, give, v
耍, sua3, shua3, play, v
酸, suan1, suan1, acid, n
删, suan1, shan1, delete, v
算, suan4, suan4, calculate, v
双, suang1, shuang1, double, n
水, sui3, shui3, water, n
纯, sun2, chun2, pure, adj
撒子, sa4 zi2, sa4 zi2, what, pron
什么, sen2 mo1, shen2 me, what, pron
时候, si2 hou4, shi2 hou4, time, n
时间, si2 jian1, shi2 jian1, time, n
十万, si2 wan4, shi2 wan4, hundred thousand, n
十亿, si2 yi4, shi2 yi4, billion, n
睡着, sui4 zo2, shui4 zhao2, sleep table, v
睡不着, sui4 bu2 zo2, shui4 bu4 zhao2, sleep not table, v

# T
他, ta1, ta1, he, pron, eng_default=true
她, ta1, ta1, she, pron
它, ta1, ta1, it, pron
台, tai2, tai2, platform, n
抬, tai2, tai2, lift, v
弹, tan2, tan2, bounce, v
涛, tao1, tao1, wave, n
天, tian1, tian1, sky, n
头, tou2, tou2, head, n
图, tu2, tu2, graph, n
突, tu2, tu1, sudden, adj
兔, tu4, tu4, rabbit, n
团, tuan2, tuan2, group, n
推, tui1, tui1, push, v
腿, tui3, tui3, leg, n
退, tui4, tui4, back, v
太阳, tai4 yang2, tai4 yang2, sun, n

# W
挖, wa1, wa1, dig, v
完, wan2, wan2, finish, v
玩, wan2, wan2, play, v
碗, wan3, wan3, bowl, n
晚, wan3, wan3, late, adj
万, wan4, wan4, ten thousand, n
王, wang4, wang4, king, n
微, wei2, wei1, micro, adj
危, wei2, wei1, dangerous, adj
伟, wei3, wei3, great, adj
伪, wei3, wei3, fake, adj
萎, wei3, wei3, weak, adj
纬, wei3, wei3, latitude, n
我, wo3, wo3, me, pron
